terror,level,source,target,weight,time
aq,1,0000260c0303dbbf,a9f8e6a7899620a4,0.00442,2019-07-17 09:58:53
aq,1,a9f8e6a7899620a4,a9f8e6a7899620a4,0.00390854,2019-07-10 21:28:03
aq,1,0000260c0303dbbf,a9f8e6a7899620a4,0.00319,2019-06-27 10:35:05
aq,2,0000260c0303dbbf,0000260c0303dbbf,19.8890242,2019-07-17 08:46:13
aq,2,a9f8e6a7899620a4,a9f8e6a7899620a4,0.00555438,2019-06-17 05:03:06
aq,2,0000260c0303dbbf,a9f8e6a7899620a4,0.00421,2019-07-02 14:59:26
aq,2,0000260c0303dbbf,0000260c0303dbbf,0.31431308,2019-06-27 10:14:25
aq,0,e0561cea94376121,exchange4,0.11008993,2019-07-10 21:25:27
aq,1,00000b55c1bcbc1f,e0561cea94376121,0.22099139,2019-05-21 19:08:56
aq,2,Virtual Currency Exchange 2,00000b55c1bcbc1f,49.08021602,2019-05-21 06:33:32
aq,0,4ec05693c948c32b,exchange4,0.12317528,2019-07-09 05:24:59
aq,1,731320663dae694e,4ec05693c948c32b,19.78566953,2019-07-09 04:52:00
aq,2,cb7c1c2b800c3c2a,731320663dae694e,20.43030949,2019-07-09 04:34:05
aq,0,AQ2,exchange4,0.0359,2019-07-05 01:13:58
aq,1,0ca4869f8d261f75,AQ2,0.062699,2019-07-03 11:27:16
aq,1,16123408fdc344c6,AQ2,0.015,2019-07-04 17:54:14
aq,2,ab6df41b7e0f78d5,0ca4869f8d261f75,0.19723912,2019-07-03 11:14:16
aq,2,db8837eee2257834,16123408fdc344c6,0.03089517,2019-03-08 18:34:40
aq,0,a182dec553c6e22d,exchange4,0.039322,2019-07-03 04:50:40
aq,1,00014e4014a987ee,a182dec553c6e22d,0.039622,2019-07-03 02:23:26
aq,2,00014e4014a987ee,00014e4014a987ee,2.74836652,2019-07-03 02:23:26
aq,0,AQ2,exchange4,0.0442,2019-07-04 03:55:18
aq,1,6385a7895f742e39,AQ2,0.04595866,2019-07-04 01:25:28
aq,2,82c736ce57746d99,6385a7895f742e39,0.37009413,2019-07-03 20:19:49
aq,0,AQ2,exchange4,0.274,2019-07-01 23:36:36
aq,1,dbeb6afaecb112af,AQ2,0.00114969,2019-06-30 19:42:17
aq,1,c09582837d1c9d3c,AQ2,0.00110564,2019-06-26 07:55:08
aq,1,b6b741c7e7e4ff45,AQ2,0.00245517,2019-06-29 19:30:19
aq,1,d731ce687b9d2024,AQ2,0.25598267,2019-07-01 19:18:17
aq,1,e60c1540d6ecebd3,AQ2,0.015,2019-06-29 12:23:56
aq,2,AQ2,dbeb6afaecb112af,0.00159204,2019-06-23 05:48:59
aq,2,AQ2,c09582837d1c9d3c,0.00999559,2019-06-25 05:41:00
aq,2,6196a5b6dde3d530,b6b741c7e7e4ff45,0.01288309,2019-06-28 10:20:55
aq,2,c20d9c571bd5e802,b6b741c7e7e4ff45,0.01401322,2019-06-29 17:19:56
aq,2,1bacf0f3f1d79ffa,d731ce687b9d2024,0.262,2019-07-01 18:59:57
aq,2,3a57848920cde776,e60c1540d6ecebd3,0.2825,2019-06-16 10:17:40
aq,0,AQ2,exchange4,0.1585284,2019-07-02 19:43:06
aq,1,02501ce540f80e06,AQ2,0.15273189,2019-07-02 18:25:21
aq,1,1c27a1f4178bc319,AQ2,0.00697293,2019-07-02 00:00:59
aq,2,72251aea8d67e0f4,02501ce540f80e06,0.15306293,2019-07-02 17:55:34
aq,2,44a540ae2545dd37,1c27a1f4178bc319,0.00730415,2019-06-27 02:15:58
aq,0,5d45c45ff40e11c2,exchange4,0.64775344,2019-07-02 23:33:40
aq,1,5d45c45ff40e11c2,5d45c45ff40e11c2,5.74528318,2019-07-02 03:10:58
aq,1,fc8137b24d8c0ff3,5d45c45ff40e11c2,1.51024572,2019-06-29 21:26:53
aq,1,27daf3f7cfc68120,5d45c45ff40e11c2,1.50801388,2019-06-29 21:26:53
